RepRapFirmware height map file v2 generated at 2023-09-14 19:46, min error 6.864, max error 6.949, mean 6.917, deviation 0.021
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
30.00,240.00,30.00,235.00,-1.00,25.00,25.00,9,9
  6.874,  6.864,  6.873,  6.914,  6.935,  6.909,  6.894,  6.878,  6.884
  6.878,  6.890,  6.882,  6.899,  6.913,  6.905,  6.894,  6.889,  6.879
  6.904,  6.908,  6.919,  6.918,  6.924,  6.922,  6.922,  6.914,  6.914
  6.922,  6.924,  6.934,  6.925,  6.929,  6.944,  6.948,  6.949,  6.939
  6.934,  6.934,  6.929,  6.932,  6.934,  6.943,  6.944,  6.929,  6.929
  6.943,  6.939,  6.934,  6.936,  6.934,  6.948,  6.945,  6.943,  6.939
  6.934,  6.934,  6.934,  6.935,  6.934,  6.935,  6.938,  6.927,  6.944
  6.918,  6.914,  6.915,  6.903,  6.914,  6.919,  6.919,  6.909,  6.908
  6.914,  6.903,  6.899,  6.894,  6.904,  6.904,  6.909,  6.898,  6.890
